artist,title,sale_year,price,low_estimate,high_estimate,auction_title
Charles Théodore Frère,Sunset on the Nile,2022.0,173611.01,78735.15,104980.2,The Orientalist Sale
Eugène Fromentin,The Charge,2022.0,52910.02,39367.57,65612.62,The Orientalist Sale
Frederick Arthur Bridgman,On the Terrace,2022.0,13227.51,10498.02,15747.03,The Orientalist Sale
Charles Louis Müller,Sultana Reading the Holy Qur'an,2022.0,90939.1,39367.57,65612.62,The Orientalist Sale
Nelson Shanks,Gramercy Studio,2022.0,44100.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Luciano Pavarotti (A Sketch),2022.0,20160.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Carlo Cignani,An Allegory of the Five Senses,2022.0,327600.0,150000.0,200000.0,Master to Master: The Nelson Shanks Collection
Alessandro Tiarini,Joseph's bloodied clothes shown to Rachel and Jacob,2022.0,564500.0,250000.0,350000.0,Master to Master: The Nelson Shanks Collection
Giovanni Maria Morandi,The Rest on the Flight to Egypt,2022.0,13230.0,8000.0,12000.0,Master to Master: The Nelson Shanks Collection
Giovanni Lanfranco,The Holy Family with the Infant Saint John the Baptist,2022.0,94500.0,30000.0,50000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Renée Fleming (A Sketch),2022.0,15120.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,William Jefferson Clinton (A Sketch),2022.0,32760.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Francesco del Cairo,A sybil in a white turban,2022.0,75600.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
Sebastiano Ricci,A bacchanal,2022.0,63000.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
"Jacopo da Ponte, called Jacopo Bassano | Leandro da Ponte, called Leandro Bassano","Three male martyr saints, including Saint Stephen",2022.0,60480.0,60000.0,80000.0,Master to Master: The Nelson Shanks Collection
"Baldassare Francheschini, called Volterrano",Sleeping Cupid,2022.0,151200.0,150000.0,200000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Ronald Reagan (A Sketch),2022.0,25200.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
"Genoese School, 17th Century",The Denial of Saint Peter,2022.0,32760.0,30000.0,40000.0,Master to Master: The Nelson Shanks Collection
Sir Anthony van Dyck,Head study of Saint Anthony of Padua,2022.0,163800.0,100000.0,150000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,"Diana, Princess of Wales",2022.0,201600.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
"Giovanni di Niccolò de Lutero, called Dosso Dossi",Venus and Cupid in a landscape,2022.0,1472000.0,1500000.0,2000000.0,Master to Master: The Nelson Shanks Collection
Attributed to Annibale Carracci,"Portrait of a man, bust-length, in a ruff",2022.0,50400.0,60000.0,80000.0,Master to Master: The Nelson Shanks Collection
"Ippolito Scarsella, called Scarsellino",Judith with the Head of Holofernes,2022.0,75600.0,30000.0,50000.0,Master to Master: The Nelson Shanks Collection
Fra Diamante,"The Madonna and Child with Three Angels: The ""Benson Madonna""",2022.0,378000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Pieter van Mol,Diogenes with his lantern looking for an honest man,2022.0,5779200.0,2000000.0,3000000.0,Master Paintings & Sculpture Part I
Alessandro Allori,"Portrait of Joanna of Austria (1547-1578), bust length, facing right",2022.0,50400.0,40000.0,60000.0,Master Paintings & Sculpture Part I
Hendrick Avercamp,Figures skating on a frozen lake with an elegant couple in the foreground,2022.0,625000.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Adriaen Coorte,Still life of fraises-de-bois in a Wan-Li bowl upon a stone ledge,2022.0,2440000.0,1500000.0,2000000.0,Master Paintings & Sculpture Part I
Johann Liss,A lute player,2022.0,75600.0,80000.0,120000.0,Master Paintings & Sculpture Part I
Luca Signorelli,Saint Nicholas of Bari saving three knights from execution,2022.0,176400.0,120000.0,180000.0,Master Paintings & Sculpture Part I
Frans Pourbus the Elder,"Portrait of a bearded gentleman, bust-length, wearing a gold chain",2022.0,63000.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Rachel Ruysch,"Still life of carnations, hibiscus, morning glories, and other other flowers on a ledge, with a butterfly",2022.0,365400.0,80000.0,120000.0,Master Paintings & Sculpture Part I
Jan van Huysum,The Holy Family at rest in Egypt,2022.0,163800.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Jean-Baptiste-Paulin Guérin,"Portrait of a woman, three-quarter length, in an elegant black velvet dress with lace trim, seated in an Empire chair on a red embroidered shawl on a terrace",2022.0,45360.0,30000.0,40000.0,Master Paintings & Sculpture Part I
Francisco José de Goya y Lucientes and Studio,"Portrait of the Marquis de Caballero, seated three-quarter length, wearing uniform, the Cross of Carlos III and the Badge of the Order of Santiago",2022.0,2198000.0,400000.0,600000.0,Master Paintings & Sculpture Part I
Artemisia Gentileschi,Susanna and the Elders,2022.0,2137500.0,1800000.0,2500000.0,Master Paintings & Sculpture Part I
Anne Vallayer-Coster,"Still life of flowers in a vase on a table beside a bust of Flora, with fruit and other objects with a curtain beyond",2022.0,1835000.0,1500000.0,2500000.0,Master Paintings & Sculpture Part I
Filippino Lippi,Penitent Mary Magdalene adoring the True Cross in a rocky landscape,2022.0,564500.0,500000.0,700000.0,Master Paintings & Sculpture Part I
François Boucher and Studio,Danäe,2022.0,151200.0,180000.0,220000.0,Master Paintings & Sculpture Part I
Gerrit Dou,Young man drawing by candlelight,2022.0,746000.0,150000.0,250000.0,Master Paintings & Sculpture Part I
"Alessandro di Mariano Filipepi, called Sandro Botticelli",The Man of Sorrows,2022.0,45419700.0,0.0,0.0,Master Paintings & Sculpture Part I
"Giovanni Antonio Bazzi, called Sodoma",Madonna and Child with Saints Jerome and Catherine of Siena,2022.0,588700.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Nicolaes Eliasz. Pickenoy,Portrait of a man in black holding a pair of kid leather gloves; Portrait of a lady in black holding a pair of kid leather and coral silk gloves,2022.0,1084800.0,450000.0,550000.0,Master Paintings & Sculpture Part I
Artemisia Gentileschi,"Portrait of a seated lady, three-quarter length, in an elaborate and gold-embroidered costume, possibly Caterina Savelli, Principessa di Albano",2022.0,2682000.0,2000000.0,3000000.0,Master Paintings & Sculpture Part I
Bartolomé Esteban Murillo,The Virgin and Child,2022.0,867000.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Sophie Frémiet Rude,"The death of Cenchirias, son of Neptune and the nymph Peirene",2022.0,685500.0,500000.0,700000.0,Master Paintings & Sculpture Part I
Valerio Castello,The Flight into Egypt,2022.0,176400.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Ambrosius Benson,Mary Magdalene holding an ointment jar,2022.0,1956000.0,500000.0,700000.0,Master Paintings & Sculpture Part I
Lorenzo Veneziano and Workshop,Madonna and Child,2022.0,56700.0,40000.0,60000.0,Master Paintings & Sculpture Part I
Charles Wautier,"Portrait of Baron Evrard de Fourneau de Cruyckenbourg (b. 1641) as a youth, wearing the order of the Knights of Malta",2022.0,189000.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Sano di Pietro,Madonna and Child,2022.0,239400.0,200000.0,300000.0,Master Paintings & Sculpture Part I
Lucas Cranach the Elder and Workshop,Madonna and Child with angels,2022.0,1653500.0,800000.0,1200000.0,Master Paintings & Sculpture Part I
"Milanese School, last quarter of the 17th Century",The “Fiera del Perdono” at Melegnano,2022.0,94500.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Quiringh Gerritsz. van Brekelenkam,The Lacemaker's School,2022.0,453600.0,100000.0,150000.0,Master Paintings & Sculpture Part I
"Dutch School, circa 1600-1650","Portrait of a child, full length, holding a kolf stick",2022.0,214200.0,40000.0,60000.0,Master Paintings & Sculpture Part I
Nicolas de Largillière,"Portrait of a lady as Pomona, traditionally identified as the Marquise de Parabère",2022.0,1230000.0,1000000.0,1500000.0,Master Paintings & Sculpture Part I
"Doménikos Theotokopoulos, called El Greco and Workshop",Saint Francis in Ecstasy,2022.0,1169500.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Jacob Ferdinand Voet,"Self portrait, bust-length",2022.0,69300.0,30000.0,50000.0,Master Paintings & Sculpture Part I
"John Constable, R.A.",A woodland scene 《樹林一景》,2021.0,413359.54,104980.2,157470.3,Old Masters Evening Sale
"John Constable, R.A.","Colliers unloading on Hove Beach, looking towards Shoreham, Brighton《荷夫灘上卸貨的運煤船，遠眺布萊頓索爾海姆》",2021.0,1067648.63,262450.5,393675.75,Old Masters Evening Sale
Jan Josefsz. van Goyen,Summer; Winter 《夏；冬》,2021.0,396825.16,262450.5,393675.75,Old Masters Evening Sale
François Boucher and Studio,The Offering to Love (L'Offrande à l'Amour) 《獻給愛神的祭品》,2021.0,256282.91,78735.15,104980.2,Old Masters Evening Sale
Sir Peter Paul Rubens,The Abduction of Ganymede 《強擄蓋尼米德》,2021.0,940622.59,393675.75,524901.0,Old Masters Evening Sale
Salomon van Ruysdael,"Fishermen on the beach at Egmond-aan-Zee, with boats, figures and their catch on the shore 《艾格蒙特海灘上的漁民，岸上的人、漁船與漁獲》",2021.0,330687.63,262450.5,393675.75,Old Masters Evening Sale
Jan Josefsz. van Goyen,Winter landscape with figures skating and sledging with horses on a frozen river 《冬日風景：結冰河面上的溜冰民眾與馬拉雪橇》,2021.0,314153.25,131225.25,196837.87,Old Masters Evening Sale
Samuel Scott,"View of Westminster Bridge with neighbouring houses, London 《倫敦西敏橋與鄰近市景》",2021.0,559544.46,196837.87,262450.5,Old Masters Evening Sale
Alonso Cano,Santa Maria Maddalena dei Pazzi 《聖瑪利亞・瑪達肋納・帕齊》,2021.0,165343.81,104980.2,157470.3,Old Masters Evening Sale
Sebastiaan Vrancx,The Four Seasons 《四季》,2021.0,1385213.74,787351.5,1049802.0,Old Masters Evening Sale
"The Master of the Argonauts, now identified as the young Jacopo del Sellaio",The Virgin and Child before a landscape 《聖母與聖嬰坐像》,2021.0,462962.68,393675.75,524901.0,Old Masters Evening Sale
Simon Vouet,Saint Agnes 《聖依搦斯》,2021.0,496031.44,393675.75,656126.25,Old Masters Evening Sale
François Boucher and Studio,Evening or The Interrupted Sleep (Le sommeil interrompu) 《傍晚》或《被打擾的淺眠》,2021.0,181878.2,131225.25,196837.87,Old Masters Evening Sale
"Benjamin West, P.R.A.",The Recovery of His Majesty in the Year 1789 《1789年英王病癒》,2021.0,264550.1,196837.87,262450.5,Old Masters Evening Sale
Jan Brueghel the Elder,Landscape with a rowing boat beside riverside cottages 《風景：河面小舟與河邊小屋》,2021.0,527787.95,262450.5,393675.75,Old Masters Evening Sale
Jacques Linard,Still life of shells and coral on a table draped with a green cloth 《靜物：桌上的貝殼與珊瑚，鋪綠色桌布》,2021.0,462962.68,262450.5,393675.75,Old Masters Evening Sale
Rachel Ruysch,Still life of a tulip and other flowers with a melon upon a ledge《靜物：臺上的一枝鬱金香、鮮花與瓜》,2021.0,511909.7,131225.25,196837.87,Old Masters Evening Sale
"Netherlandish School, circa 1530","Portrait of a bearded man, half-length, wearing a black hat 《蓄鬍子戴黑帽的男子半身像》",2021.0,314153.25,157470.3,236205.45,Old Masters Evening Sale
Master of Charles of Durazzo,The Crucifixion 《耶穌被釘十字架》,2021.0,686570.51,524901.0,787351.5,Old Masters Evening Sale
"Joseph Mallord William Turner, R.A.","Cilgerran Castle, Wales 《威爾斯吉爾格蘭城堡》",2021.0,1369335.48,393675.75,656126.25,Old Masters Evening Sale
Francisco José de Goya y Lucientes,A Dance on a bank of the River Manzanares (Un baile a orilla del Río Manzanares) 《曼薩納雷斯河畔舞會》,2021.0,446428.3,524901.0,787351.5,Old Masters Evening Sale
Pieter Brueghel the Younger,A peasant offering a cock to his companion; a fisherman offering a fish to his companion 《農夫向女伴獻公雞；漁夫向女伴獻魚》,2021.0,496031.44,393675.75,656126.25,Old Masters Evening Sale
"Luca Giordano, called Fa Presto","Venus and Cupid, a landscape beyond 《維納斯與邱比特，身後為遠方風景》",2021.0,115740.67,104980.2,157470.3,Old Masters Evening Sale
Sir Anthony van Dyck,Portrait of Jacob de Witte; Portrait of Maria Nutius 《雅各布・德維特畫像；瑪莉亞・努提烏斯畫像》,2021.0,8100272.21,5249009.99,7873514.98,Old Masters Evening Sale
"Gaspar van Wittel, called Vanvitelli","A pair of views of Villa Aldobrandini, Frascati 《弗拉斯卡蒂的阿多布蘭迪尼別墅風景畫一對》",2021.0,396825.16,131225.25,196837.87,Old Masters Evening Sale
"After Tiziano Vecellio, called Titian","Cameria, or Mihrimah Sultan (1522-1578), daughter of Suleyman the Magnificent",2021.0,18187.82,9185.77,13122.52,Arts of the Islamic World & India including Fine Rugs and Carpets
Sir Thomas Lawrence P. R .A.,A deer shoot at night,2021.0,16380.0,15000.0,20000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Bernardino di Betto, called Pinturicchio",The Nativity,2021.0,88200.0,80000.0,120000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Alessandro Allori,Christ Carrying the Cross,2021.0,113400.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Niccolò di Pietro Gerini,Saint Sigismund,2021.0,94500.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,"The Palazzi Manolesso-Ferro, Contarini-Fasan and Venier-Contarini on the Grand Canal, Venice",2021.0,7387800.0,2000000.0,3000000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"English School, Early 19th Century",The Eruption at Lake Avernus,2021.0,6300.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Roman School, 17th Century",Putti presenting Venus with the boar that killed Adonis,2021.0,27720.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Domenico Beccafumi,"The Madonna, Saint Joseph, the Infant Baptist and an angel adoring the Infant Christ: The “Feigen Adoration”",2021.0,340200.0,300000.0,500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Girolamo Mazzola Bedoli,The Holy Family in a landscape,2021.0,69300.0,60000.0,80000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,"Corso Sant'Anastasia, Verona",2021.0,453600.0,300000.0,500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Andrea di Bartolo,Saint Stephen; Saint Lawrence,2021.0,100800.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Gottfried Wals,Landscape with a Farm and Trees Beside a River,2021.0,94500.0,50000.0,70000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Ambrogio di Stefano da Fossano, called Bergognone",Three singing angels,2021.0,138600.0,80000.0,120000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Gilbert Stuart,"Portrait of a lady, half-length, wearing a brown dress with a black lace shawl and a white bonnet",2021.0,27720.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Giovanni Lanfranco,Noli me tangere,2021.0,100800.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir David Wilkie, R.A.",Nelson sealing the Copenhagen letter,2021.0,22680.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,View of Lerici with Baron Charles Rivet sketching in the foreground,2021.0,2682000.0,1000000.0,1500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Follower of Jan Gossaert,The Crucifixion,2021.0,44100.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Thomas Gainsborough, R.A.",Portrait of Colonel The Hon. Charles Hamilton (1727-1806),2021.0,47880.0,50000.0,70000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir Charles Lock Eastlake, P.R.A.","Rome, a view of Saint Peter's from Monte Mario",2021.0,20160.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Joseph Michael Gandy, A.R.A.",The landing place to a Temple of Victory through the Gate of Minerva,2021.0,63000.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
John Russell,"Portrait of a young man, half-length, said to be Peter Speirs",2021.0,16380.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Arcangelo di Cola da Camerino,Martyrdom of St. Catherine,2021.0,75600.0,80000.0,120000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir David Wilkie, R.A.","Sketch for ""A Whisky Still at Lochgilphead""",2021.0,27720.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Cenni di Francesco di Ser Cenni,"A male saint, possibly Saint Anthony Abbot",2021.0,81900.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Domenico Zampieri, called Domenichino",Tobias and the Angel,2021.0,100800.0,30000.0,50000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Thomas Gainsborough R.A.,"Landscape with trees and a field, a church tower in the distance",2021.0,47880.0,30000.0,40000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Studio of Sir Henry Raeburn, R.A., P.R.S.A.","Portrait of Sir John Hay (1755-1830), 5th Baronet of Haystoun and Smithfield, bust- length",2021.0,11970.0,4000.0,6000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
George Romney,"Portrait of a Gentleman, seated, probably William Suddel of Lancaster",2021.0,94500.0,30000.0,50000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Richard Wilson, R.A.","An Italian river scene, with the Temple of Clitumnus and ruins, two figures and cows",2021.0,52920.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,Study of a sixteenth-century half suit of armor,2021.0,32760.0,30000.0,50000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Thomas Stothard, R.A.",Cimon and Iphigenia,2021.0,5040.0,6000.0,8000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Annibale Carracci,The Return from the Flight into Egypt,2021.0,485100.0,400000.0,600000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Flemish School, circa 1530-1540",Portrait of Empress Isabella of Portugal (1503-1539),2021.0,189000.0,150000.0,200000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Bartolomeo Schedoni,The Holy Family with Saint John the Baptist,2021.0,75600.0,60000.0,80000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Studio of Gerard Seghers,The Penitent Saint Peter,2021.0,44100.0,7000.0,10000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Moses Matheusz. van Uyttenbroeck,Young man and woman in a cave,2021.0,7560.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Richard Wilson, R.A.",The Destruction of Niobe's Children,2021.0,50400.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
The Master of 1518,The Holy Family with Saints Catherine and Ursula | 《聖家與聖凱薩琳及烏蘇拉》,2021.0,380290.77,196837.87,262450.5,Old Masters Evening Sale
Sir Anthony van Dyck,"Family portrait of the painter Cornelis de Vos and his wife Suzanna Cock and their two eldest children, Magdalena and Jan-Baptist | 《畫家科尼利厄斯・德・沃斯、其妻蘇珊娜・考克與長子女馬格達萊納和揚・巴普蒂斯的全家福》",2021.0,3195334.83,1312252.5,1968378.75,Old Masters Evening Sale
Domenico Beccafumi,The Virgin and Child with Saints Lawrence and Catherine of Alexandria | 《聖母與聖嬰、聖勞倫斯及亞歷山大的凱薩琳》,2021.0,363756.39,262450.5,393675.75,Old Masters Evening Sale
Jan Griffier the Elder,"A winter landscape with figures ice skating, a village and castle beyond | 《滑雪遊人冬日景緻，遠眺城堡與村莊》",2021.0,330687.63,131225.25,196837.87,Old Masters Evening Sale
Willem van de Velde the Elder,"A coastal scene with a three-master, a kaag on a broad reach and other small vessels, a penschilderij | 《三桅船、後舷風行駛的帆船及小型輪船海岸風景鋼筆畫》",2021.0,781840.04,524901.0,787351.5,Old Masters Evening Sale
François Boucher,Les villageois à la pêche | 《垂釣的村民》,2021.0,413359.54,328063.12,459288.37,Old Masters Evening Sale
Jan Davidsz. de Heem,"Still life of fruit, including lemons, grapes, pears and cherries, together with a hazelnut, all arranged on a table largely draped with a blue cloth | 《靜物：桌子上的檸檬、葡萄、紅梨、櫻桃及一顆榛子，藍色布覆蓋大半桌面》",2021.0,380290.77,262450.5,393675.75,Old Masters Evening Sale
"Baldassare Franceschini, called Il Volterrano","‘La Pescatrice’ (The Fisherwoman), or An Allegory of Fraud | 《女漁夫》或《欺詐的寓言》",2021.0,396825.16,104980.2,157470.3,Old Masters Evening Sale
Pseudo Jan Wellens de Cock,Saint Christopher carrying the Christ Child in an extensive river landscape | 《聖克里斯多福揹著聖嬰橫渡大河》,2021.0,281084.48,131225.25,196837.87,Old Masters Evening Sale
Attributed to Quinten Massys,A jester: a grotesque head of a fool brandishing a wooden spoon | 《小丑：揮舞木匙的趣怪愚人頭像》,2021.0,686570.51,52490.1,78735.15,Old Masters Evening Sale
Gerrit Adriaensz. Berckheyde,"The Oudezijds Heerenlogement, on the confluence of the Grimburgwal and the Oudezijds Voorburgwal, Amsterdam | 《烏德齊耶茲・希倫胡辛旅館，格林伯格瓦爾運河與奧德澤茲・沃爾伯格瓦運河交匯處，阿姆斯特丹》",2021.0,892987.82,393675.75,656126.25,Old Masters Evening Sale
"William Hodges, R.A.","View of Port Louis, Mauritius from the sea | 《海中眺望毛里求斯路易港》",2021.0,248015.72,131225.25,196837.87,Old Masters Evening Sale
"Danube School, Lower Austria, 1515",The Legend of the Four Crowned Martyrs | 《四加冕殉教者之傳說》,2021.0,231481.34,131225.25,196837.87,Old Masters Evening Sale
Hugh Douglas Hamilton,"Triple portrait of Emma, Lady Hamilton (1765–1815), as the three Muses | 《裝扮成三位繆斯的愛瑪・漢密爾頓夫人（1765–1815年）肖像》",2021.0,813596.55,524901.0,787351.5,Old Masters Evening Sale
"Follower of Lucas Cranach the Elder, early 17th Century",Venus with Cupid stealing honey | 《採蜜的維納斯與丘比特》,2021.0,264550.1,78735.15,104980.2,Old Masters Evening Sale
Adriaen Isenbrant,The Crucifixion |《十字架苦像》,2021.0,845353.06,262450.5,393675.75,Old Masters Evening Sale
François Boucher,Le départ pour la pêche | 《出發捕魚》,2021.0,264550.1,196837.87,262450.5,Old Masters Evening Sale
Willem Kalf,"Still life with a Chinese ginger jar, silver, objects of vertu, a cut melon, bread, a paper packet in a porcelain bowl, and a pink rose, all on a table draped with a Persian carpet | 《靜物：桌上的瓷薑罐、古董銀器、切開的蜜瓜、麵包、瓷碟上的紙捲與粉紅玫瑰，桌面鋪波斯毛毯》",2021.0,1925074.41,1049802.0,1574703.0,Old Masters Evening Sale
Jan van Kessel the Elder,A still life of spring flowers in a glass vase on a table | 《靜物：桌上玻璃瓶中的春日花卉》,2021.0,380290.77,157470.3,236205.45,Old Masters Evening Sale
Jan Brueghel the Elder,A wooded estuary with a ferry and fishermen selling their catch | 《樹木繁茂的河口、渡船與售賣漁獲的漁夫》,2021.0,845353.06,393675.75,656126.25,Old Masters Evening Sale
Juan de Arellano,"A pair of floral still lifes, in lapis and bronze vases on stone plinths | 《靜物畫一對：石基座上的青銅鑲青金石瓶花》",2021.0,198412.58,157470.3,236205.45,Old Masters Evening Sale
Girolamo Mazzola Bedoli,The Virgin and Child enthroned with a bishop saint and Saint Francis | 《聖母與聖嬰加冕，主教聖人及聖方濟各在旁》,2021.0,239748.53,196837.87,262450.5,Old Masters Evening Sale
Fede Galizia,Still life of peaches on a fruit stand with jasmine flowers and a tulip | 《靜物：果盤上的水蜜桃、茉莉花與鬱金香》,2021.0,575422.72,524901.0,787351.5,Old Masters Evening Sale
