artist,title,currency,sale_year,sold,price,low_estimate,high_estimate,auction_title
Carlo Cignani,An Allegory of the Five Senses,USD,2022.0,1,327600.0,150000.0,200000.0,Master to Master: The Nelson Shanks Collection
Guido Cagnacci,An allegory of Vanity and Penitence,USD,2022.0,0,0.0,800000.0,1200000.0,Master to Master: The Nelson Shanks Collection
Bartolomeo Schedoni,The Penitent Magdalene in meditation with two angels,USD,2022.0,0,0.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
Alessandro Tiarini,Joseph's bloodied clothes shown to Rachel and Jacob,USD,2022.0,1,564500.0,250000.0,350000.0,Master to Master: The Nelson Shanks Collection
Giovanni Maria Morandi,The Rest on the Flight to Egypt,USD,2022.0,1,13230.0,8000.0,12000.0,Master to Master: The Nelson Shanks Collection
Giovanni Lanfranco,The Holy Family with the Infant Saint John the Baptist,USD,2022.0,1,94500.0,30000.0,50000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Renée Fleming (A Sketch),USD,2022.0,1,15120.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,William Jefferson Clinton (A Sketch),USD,2022.0,1,32760.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
Pier Francesco Mola,"Portrait of a boy, head and shoulders, in a red doublet and white cap",USD,2022.0,0,0.0,30000.0,50000.0,Master to Master: The Nelson Shanks Collection
Bernardo Strozzi,Saint Christopher carrying the Christ Child,USD,2022.0,0,0.0,100000.0,150000.0,Master to Master: The Nelson Shanks Collection
Francesco Solimena,Zeuxis Painting Venus with the Maidens of Croton,USD,2022.0,0,0.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
Mattia Preti,Saint John the Baptist Admonishing Herod,USD,2022.0,0,0.0,800000.0,1200000.0,Master to Master: The Nelson Shanks Collection
Francesco del Cairo,A sybil in a white turban,USD,2022.0,1,75600.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
Bernardo Cavallino,The vision of Saint Anthony of Padua,USD,2022.0,0,0.0,120000.0,180000.0,Master to Master: The Nelson Shanks Collection
Sebastiano Ricci,A bacchanal,USD,2022.0,1,63000.0,80000.0,120000.0,Master to Master: The Nelson Shanks Collection
"Jacopo da Ponte, called Jacopo Bassano | Leandro da Ponte, called Leandro Bassano","Three male martyr saints, including Saint Stephen",USD,2022.0,1,60480.0,60000.0,80000.0,Master to Master: The Nelson Shanks Collection
"Baldassare Francheschini, called Volterrano",Sleeping Cupid,USD,2022.0,1,151200.0,150000.0,200000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,Ronald Reagan (A Sketch),USD,2022.0,1,25200.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
"Genoese School, 17th Century",The Denial of Saint Peter,USD,2022.0,1,32760.0,30000.0,40000.0,Master to Master: The Nelson Shanks Collection
Sir Anthony van Dyck,Head study of Saint Anthony of Padua,USD,2022.0,1,163800.0,100000.0,150000.0,Master to Master: The Nelson Shanks Collection
Nelson Shanks,"Diana, Princess of Wales",USD,2022.0,1,201600.0,15000.0,20000.0,Master to Master: The Nelson Shanks Collection
"Giovanni di Niccolò de Lutero, called Dosso Dossi",Venus and Cupid in a landscape,USD,2022.0,1,1472000.0,1500000.0,2000000.0,Master to Master: The Nelson Shanks Collection
Attributed to Annibale Carracci,"Portrait of a man, bust-length, in a ruff",USD,2022.0,1,50400.0,60000.0,80000.0,Master to Master: The Nelson Shanks Collection
"Ippolito Scarsella, called Scarsellino",Judith with the Head of Holofernes,USD,2022.0,1,75600.0,30000.0,50000.0,Master to Master: The Nelson Shanks Collection
Carlo Saraceni,The penitent Saint Peter,USD,2022.0,0,0.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Fra Diamante,"The Madonna and Child with Three Angels: The ""Benson Madonna""",USD,2022.0,1,378000.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Giovanni Bellini,"The Madonna and Child at a Ledge with an Apple: ""The Philips Madonna""",USD,2022.0,0,0.0,3000000.0,5000000.0,Master Paintings & Sculpture Part I
"Lorenzo Monaco and Workshop Assistant, possibly the young Fra Angelico",The Madonna of Humility with adoring angels,USD,2022.0,0,0.0,400000.0,600000.0,Master Paintings & Sculpture Part I
Pieter van Mol,Diogenes with his lantern looking for an honest man,USD,2022.0,1,5779200.0,2000000.0,3000000.0,Master Paintings & Sculpture Part I
Alessandro Allori,"Portrait of Joanna of Austria (1547-1578), bust length, facing right",USD,2022.0,1,50400.0,40000.0,60000.0,Master Paintings & Sculpture Part I
"Antonio Allegri, called Correggio",Saint Mary Magdalen reading,USD,2022.0,0,0.0,4500000.0,5500000.0,Master Paintings & Sculpture Part I
Jacobus Vrel,Old woman seated with a young girl before a window,USD,2022.0,0,0.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Hendrick Avercamp,Figures skating on a frozen lake with an elegant couple in the foreground,USD,2022.0,1,625000.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Adriaen Coorte,Still life of fraises-de-bois in a Wan-Li bowl upon a stone ledge,USD,2022.0,1,2440000.0,1500000.0,2000000.0,Master Paintings & Sculpture Part I
Johann Liss,A lute player,USD,2022.0,1,75600.0,80000.0,120000.0,Master Paintings & Sculpture Part I
Luca Signorelli,Saint Nicholas of Bari saving three knights from execution,USD,2022.0,1,176400.0,120000.0,180000.0,Master Paintings & Sculpture Part I
Frans Pourbus the Elder,"Portrait of a bearded gentleman, bust-length, wearing a gold chain",USD,2022.0,1,63000.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Rachel Ruysch,"Still life of carnations, hibiscus, morning glories, and other other flowers on a ledge, with a butterfly",USD,2022.0,1,365400.0,80000.0,120000.0,Master Paintings & Sculpture Part I
Jan van Huysum,The Holy Family at rest in Egypt,USD,2022.0,1,163800.0,150000.0,200000.0,Master Paintings & Sculpture Part I
Jean-Baptiste-Paulin Guérin,"Portrait of a woman, three-quarter length, in an elegant black velvet dress with lace trim, seated in an Empire chair on a red embroidered shawl on a terrace",USD,2022.0,1,45360.0,30000.0,40000.0,Master Paintings & Sculpture Part I
Francisco José de Goya y Lucientes and Studio,"Portrait of the Marquis de Caballero, seated three-quarter length, wearing uniform, the Cross of Carlos III and the Badge of the Order of Santiago",USD,2022.0,1,2198000.0,400000.0,600000.0,Master Paintings & Sculpture Part I
Artemisia Gentileschi,Susanna and the Elders,USD,2022.0,1,2137500.0,1800000.0,2500000.0,Master Paintings & Sculpture Part I
Anne Vallayer-Coster,"Still life of flowers in a vase on a table beside a bust of Flora, with fruit and other objects with a curtain beyond",USD,2022.0,1,1835000.0,1500000.0,2500000.0,Master Paintings & Sculpture Part I
Filippino Lippi,Penitent Mary Magdalene adoring the True Cross in a rocky landscape,USD,2022.0,1,564500.0,500000.0,700000.0,Master Paintings & Sculpture Part I
François Boucher and Studio,Danäe,USD,2022.0,1,151200.0,180000.0,220000.0,Master Paintings & Sculpture Part I
Gerrit Dou,Young man drawing by candlelight,USD,2022.0,1,746000.0,150000.0,250000.0,Master Paintings & Sculpture Part I
"Giovanni di Niccolò de Lutero, called Dosso Dossi",Portait of a man in a black beretta,USD,2022.0,0,0.0,100000.0,150000.0,Master Paintings & Sculpture Part I
"Alessandro di Mariano Filipepi, called Sandro Botticelli",The Man of Sorrows,USD,2022.0,1,45419700.0,0.0,0.0,Master Paintings & Sculpture Part I
"Giovanni Antonio Bazzi, called Sodoma",Madonna and Child with Saints Jerome and Catherine of Siena,USD,2022.0,1,588700.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Nicolaes Eliasz. Pickenoy,Portrait of a man in black holding a pair of kid leather gloves; Portrait of a lady in black holding a pair of kid leather and coral silk gloves,USD,2022.0,1,1084800.0,450000.0,550000.0,Master Paintings & Sculpture Part I
Artemisia Gentileschi,"Portrait of a seated lady, three-quarter length, in an elaborate and gold-embroidered costume, possibly Caterina Savelli, Principessa di Albano",USD,2022.0,1,2682000.0,2000000.0,3000000.0,Master Paintings & Sculpture Part I
Bartolomé Esteban Murillo,The Virgin and Child,USD,2022.0,1,867000.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Sophie Frémiet Rude,"The death of Cenchirias, son of Neptune and the nymph Peirene",USD,2022.0,1,685500.0,500000.0,700000.0,Master Paintings & Sculpture Part I
Bartolomeo Vivarini,Madonna and Child,USD,2022.0,0,0.0,80000.0,120000.0,Master Paintings & Sculpture Part I
Valerio Castello,The Flight into Egypt,USD,2022.0,1,176400.0,150000.0,200000.0,Master Paintings & Sculpture Part I
The Master of the Parrot,Mary Magdalene,USD,2022.0,0,0.0,200000.0,300000.0,Master Paintings & Sculpture Part I
Ambrosius Benson,Mary Magdalene holding an ointment jar,USD,2022.0,1,1956000.0,500000.0,700000.0,Master Paintings & Sculpture Part I
Lorenzo Veneziano and Workshop,Madonna and Child,USD,2022.0,1,56700.0,40000.0,60000.0,Master Paintings & Sculpture Part I
Claude-Joseph Vernet,"A storm near a rocky coast, with a group of fishermen pulling a wrecked boat in the foreground",USD,2022.0,0,0.0,250000.0,350000.0,Master Paintings & Sculpture Part I
Charles Wautier,"Portrait of Baron Evrard de Fourneau de Cruyckenbourg (b. 1641) as a youth, wearing the order of the Knights of Malta",USD,2022.0,1,189000.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Sano di Pietro,Madonna and Child,USD,2022.0,1,239400.0,200000.0,300000.0,Master Paintings & Sculpture Part I
Lucas Cranach the Elder and Workshop,Madonna and Child with angels,USD,2022.0,1,1653500.0,800000.0,1200000.0,Master Paintings & Sculpture Part I
"Jusepe de Ribera, called lo Spagnoletto",Saint Joseph with a plane and square,USD,2022.0,0,0.0,150000.0,200000.0,Master Paintings & Sculpture Part I
"Milanese School, last quarter of the 17th Century",The “Fiera del Perdono” at Melegnano,USD,2022.0,1,94500.0,60000.0,80000.0,Master Paintings & Sculpture Part I
Quiringh Gerritsz. van Brekelenkam,The Lacemaker's School,USD,2022.0,1,453600.0,100000.0,150000.0,Master Paintings & Sculpture Part I
Taddeo di Bartolo,"A Crucifixion with the Virgin, Saint John the Evangelist and a female donor figure",USD,2022.0,0,0.0,100000.0,150000.0,Master Paintings & Sculpture Part I
"Dutch School, circa 1600-1650","Portrait of a child, full length, holding a kolf stick",USD,2022.0,1,214200.0,40000.0,60000.0,Master Paintings & Sculpture Part I
Nicolas de Largillière,"Portrait of a lady as Pomona, traditionally identified as the Marquise de Parabère",USD,2022.0,1,1230000.0,1000000.0,1500000.0,Master Paintings & Sculpture Part I
"Doménikos Theotokopoulos, called El Greco and Workshop",Saint Francis in Ecstasy,USD,2022.0,1,1169500.0,600000.0,800000.0,Master Paintings & Sculpture Part I
Jacob Ferdinand Voet,"Self portrait, bust-length",USD,2022.0,1,69300.0,30000.0,50000.0,Master Paintings & Sculpture Part I
Dirck van Baburen,Christ driving the money changers from the temple,USD,2022.0,0,0.0,300000.0,500000.0,Master Paintings & Sculpture Part I
Balthasar van der Ast,"A tulip, a carnation and roses, with shells and insects, on a ledge",USD,2022.0,0,0.0,200000.0,300000.0,Master Paintings & Sculpture Part I
"John Constable, R.A.",A woodland scene 《樹林一景》,USD,2021.0,1,413359.54,104980.2,157470.3,Old Masters Evening Sale
"John Constable, R.A.","Colliers unloading on Hove Beach, looking towards Shoreham, Brighton《荷夫灘上卸貨的運煤船，遠眺布萊頓索爾海姆》",USD,2021.0,1,1067648.63,262450.5,393675.75,Old Masters Evening Sale
Jan Josefsz. van Goyen,Summer; Winter 《夏；冬》,USD,2021.0,1,396825.16,262450.5,393675.75,Old Masters Evening Sale
Willem Kalf,"Still life with a Chinese ginger jar, a porcelain bowl, a glass roemer and other objects of vertu, with a half-peeled lemon, orange, and melon, all on a marble ledge draped with a Persian carpet 《靜物：大理石臺上的瓷薑罐、瓷盌、玻璃大酒杯與其他工藝品，半削皮檸檬、橙與蜜瓜，鋪波斯毯》",USD,2021.0,0,0.0,656126.25,918576.75,Old Masters Evening Sale
François Boucher and Studio,The Offering to Love (L'Offrande à l'Amour) 《獻給愛神的祭品》,USD,2021.0,1,256282.91,78735.15,104980.2,Old Masters Evening Sale
Sir Peter Paul Rubens,The Abduction of Ganymede 《強擄蓋尼米德》,USD,2021.0,1,940622.59,393675.75,524901.0,Old Masters Evening Sale
Salomon van Ruysdael,"Fishermen on the beach at Egmond-aan-Zee, with boats, figures and their catch on the shore 《艾格蒙特海灘上的漁民，岸上的人、漁船與漁獲》",USD,2021.0,1,330687.63,262450.5,393675.75,Old Masters Evening Sale
Nicolaes Pietersz. Berchem,An evening landscape with drovers and their animals by a river 《傍晚風景：河邊的牧人與牲畜》,USD,2021.0,0,0.0,328063.12,459288.37,Old Masters Evening Sale
Jan Josefsz. van Goyen,Winter landscape with figures skating and sledging with horses on a frozen river 《冬日風景：結冰河面上的溜冰民眾與馬拉雪橇》,USD,2021.0,1,314153.25,131225.25,196837.87,Old Masters Evening Sale
Samuel Scott,"View of Westminster Bridge with neighbouring houses, London 《倫敦西敏橋與鄰近市景》",USD,2021.0,1,559544.46,196837.87,262450.5,Old Masters Evening Sale
Alonso Cano,Santa Maria Maddalena dei Pazzi 《聖瑪利亞・瑪達肋納・帕齊》,USD,2021.0,1,165343.81,104980.2,157470.3,Old Masters Evening Sale
Sebastiaan Vrancx,The Four Seasons 《四季》,USD,2021.0,1,1385213.74,787351.5,1049802.0,Old Masters Evening Sale
"The Master of the Argonauts, now identified as the young Jacopo del Sellaio",The Virgin and Child before a landscape 《聖母與聖嬰坐像》,USD,2021.0,1,462962.68,393675.75,524901.0,Old Masters Evening Sale
Rachel Ruysch,Still life of flowers in a vase with a bird's nest upon a marble ledge《靜物：大理石臺上的一瓶鮮花與鳥巢》,USD,2021.0,0,0.0,1574703.0,2362054.49,Old Masters Evening Sale
Simon Vouet,Saint Agnes 《聖依搦斯》,USD,2021.0,1,496031.44,393675.75,656126.25,Old Masters Evening Sale
François Boucher and Studio,Evening or The Interrupted Sleep (Le sommeil interrompu) 《傍晚》或《被打擾的淺眠》,USD,2021.0,1,181878.2,131225.25,196837.87,Old Masters Evening Sale
"Benjamin West, P.R.A.",The Recovery of His Majesty in the Year 1789 《1789年英王病癒》,USD,2021.0,1,264550.1,196837.87,262450.5,Old Masters Evening Sale
"John Constable, R.A.",The Glebe Farm 《教區農場》,USD,2021.0,0,0.0,3936757.49,6561262.49,Old Masters Evening Sale
Jan Brueghel the Elder,Landscape with a rowing boat beside riverside cottages 《風景：河面小舟與河邊小屋》,USD,2021.0,1,527787.95,262450.5,393675.75,Old Masters Evening Sale
Jacques Linard,Still life of shells and coral on a table draped with a green cloth 《靜物：桌上的貝殼與珊瑚，鋪綠色桌布》,USD,2021.0,1,462962.68,262450.5,393675.75,Old Masters Evening Sale
Rachel Ruysch,Still life of a tulip and other flowers with a melon upon a ledge《靜物：臺上的一枝鬱金香、鮮花與瓜》,USD,2021.0,1,511909.7,131225.25,196837.87,Old Masters Evening Sale
Esaias van de Velde,Winter landscape with an elegant couple in a horse-drawn sledge on a frozen waterway by a windmill 《冬日風景：風車旁結冰水道馬拉雪橇上的男女》,USD,2021.0,0,0.0,104980.2,157470.3,Old Masters Evening Sale
"Netherlandish School, circa 1530","Portrait of a bearded man, half-length, wearing a black hat 《蓄鬍子戴黑帽的男子半身像》",USD,2021.0,1,314153.25,157470.3,236205.45,Old Masters Evening Sale
Master of Charles of Durazzo,The Crucifixion 《耶穌被釘十字架》,USD,2021.0,1,686570.51,524901.0,787351.5,Old Masters Evening Sale
"Joseph Mallord William Turner, R.A.","Cilgerran Castle, Wales 《威爾斯吉爾格蘭城堡》",USD,2021.0,1,1369335.48,393675.75,656126.25,Old Masters Evening Sale
Francisco José de Goya y Lucientes,A Dance on a bank of the River Manzanares (Un baile a orilla del Río Manzanares) 《曼薩納雷斯河畔舞會》,USD,2021.0,1,446428.3,524901.0,787351.5,Old Masters Evening Sale
Pieter Brueghel the Younger,A peasant offering a cock to his companion; a fisherman offering a fish to his companion 《農夫向女伴獻公雞；漁夫向女伴獻魚》,USD,2021.0,1,496031.44,393675.75,656126.25,Old Masters Evening Sale
"Luca Giordano, called Fa Presto","Venus and Cupid, a landscape beyond 《維納斯與邱比特，身後為遠方風景》",USD,2021.0,1,115740.67,104980.2,157470.3,Old Masters Evening Sale
"Jusepe de Ribera, called lo Spagnoletto",Saint Bartholomew 《聖巴爾多祿茂》,USD,2021.0,0,0.0,131225.25,196837.87,Old Masters Evening Sale
Sir Anthony van Dyck,Portrait of Jacob de Witte; Portrait of Maria Nutius 《雅各布・德維特畫像；瑪莉亞・努提烏斯畫像》,USD,2021.0,1,8100272.21,5249009.99,7873514.98,Old Masters Evening Sale
"Gaspar van Wittel, called Vanvitelli","A pair of views of Villa Aldobrandini, Frascati 《弗拉斯卡蒂的阿多布蘭迪尼別墅風景畫一對》",USD,2021.0,1,396825.16,131225.25,196837.87,Old Masters Evening Sale
"After Tiziano Vecellio, called Titian","Cameria, or Mihrimah Sultan (1522-1578), daughter of Suleyman the Magnificent",USD,2021.0,1,18187.82,9185.77,13122.52,Arts of the Islamic World & India including Fine Rugs and Carpets
Sir Thomas Lawrence P. R .A.,A deer shoot at night,USD,2021.0,1,16380.0,15000.0,20000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Bernardino di Betto, called Pinturicchio",The Nativity,USD,2021.0,1,88200.0,80000.0,120000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Alessandro Allori,Christ Carrying the Cross,USD,2021.0,1,113400.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Niccolò di Pietro Gerini,Saint Sigismund,USD,2021.0,1,94500.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Herman van Swanevelt,Polyphemus and Galatea; The Judgment of Paris,USD,2021.0,0,0.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Dutch School, circa 1600",Saint John the Evangelist,USD,2021.0,0,0.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,"The Palazzi Manolesso-Ferro, Contarini-Fasan and Venier-Contarini on the Grand Canal, Venice",USD,2021.0,1,7387800.0,2000000.0,3000000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"English School, Early 19th Century",The Eruption at Lake Avernus,USD,2021.0,1,6300.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Roman School, 17th Century",Putti presenting Venus with the boar that killed Adonis,USD,2021.0,1,27720.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Domenico Beccafumi,"The Madonna, Saint Joseph, the Infant Baptist and an angel adoring the Infant Christ: The “Feigen Adoration”",USD,2021.0,1,340200.0,300000.0,500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Girolamo Mazzola Bedoli,The Holy Family in a landscape,USD,2021.0,1,69300.0,60000.0,80000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Benozzo de Lese di Sandro, called Benozzo Gozzoli",The Adoration of the Christ Child,USD,2021.0,0,0.0,200000.0,300000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,"Corso Sant'Anastasia, Verona",USD,2021.0,1,453600.0,300000.0,500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Andrea di Bartolo,Saint Stephen; Saint Lawrence,USD,2021.0,1,100800.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir David Wilkie, R.A.",The Death of Sir Philip Sidney,USD,2021.0,0,0.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Gottfried Wals,Landscape with a Farm and Trees Beside a River,USD,2021.0,1,94500.0,50000.0,70000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Ambrogio di Stefano da Fossano, called Bergognone",Three singing angels,USD,2021.0,1,138600.0,80000.0,120000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Gilbert Stuart,"Portrait of a lady, half-length, wearing a brown dress with a black lace shawl and a white bonnet",USD,2021.0,1,27720.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Giovanni Lanfranco,Noli me tangere,USD,2021.0,1,100800.0,100000.0,150000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir David Wilkie, R.A.",Nelson sealing the Copenhagen letter,USD,2021.0,1,22680.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Richard Parkes Bonington,View of Lerici with Baron Charles Rivet sketching in the foreground,USD,2021.0,1,2682000.0,1000000.0,1500000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
Follower of Jan Gossaert,The Crucifixion,USD,2021.0,1,44100.0,20000.0,30000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Thomas Gainsborough, R.A.",Portrait of Colonel The Hon. Charles Hamilton (1727-1806),USD,2021.0,1,47880.0,50000.0,70000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Sir Charles Lock Eastlake, P.R.A.","Rome, a view of Saint Peter's from Monte Mario",USD,2021.0,1,20160.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
"Joseph Michael Gandy, A.R.A.",The landing place to a Temple of Victory through the Gate of Minerva,USD,2021.0,1,63000.0,40000.0,60000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
John Russell,"Portrait of a young man, half-length, said to be Peter Speirs",USD,2021.0,1,16380.0,8000.0,12000.0,"Collector, Dealer, Connoisseur: The Vision of Richard L. Feigen"
